Code,Name,결산월,상장일,시가총액,유통시가총액,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)","P/FCF1(Adj., FY End)",EV/EBITDA,EV/EBIT,"DPS(보통주, 현금+주식, 연간)",year,수정주가,ROA,비유동부채,자산총계
A000680,LS네트웍스,12,19731115,44927335310.0,17288038627.0,52.11,1.15,0.5,3.34,0.45,0.51,0.0,2006,3425,6.36,187631846.0,431518994.0
A000700,유수홀딩스,12,19560303,1864567796000.0,1339878418206.0,1.75,0.39,0.14,2.07,2.72,3.46,1000.0,2006,11631,12.61,1637191280.0,5039290818.0
A000720,현대건설,12,19841222,5903914446000.0,3865883179241.0,15.1,3.76,1.15,110.42,21.83,23.0,0.0,2006,57000,3.7,1236221667.0,4526621698.0
A000760,이화산업,12,19940429,11158000000.0,5161690800.0,-0.98,0.27,0.18,-9.36,-5.83,-5.53,0.0,2006,3965,-9.84,1457925.0,93661256.0
A000800,경남기업,12,19730212,166429788800.0,71265235564.0,7.6,0.51,0.21,-6.97,8.3,9.21,750.0,2006,17297,3.5,109331540.0,645055984.0
A000850,화천기공,12,19991118,46090000000.0,18850810000.0,4.93,0.57,0.34,6.41,2.79,3.38,1000.0,2006,26700,5.26,8795228.0,109129510.0
A000860,강남제비스코,12,19751112,83850000000.0,40826565000.0,7.21,0.42,0.43,4.72,3.45,4.67,350.0,2006,16400,7.85,11281935.0,244951968.0
A000880,한화,12,19760624,2383687773000.0,1355364867728.0,20.45,2.43,1.16,7.87,13.6,15.3,450.0,2006,34047,8.17,755482984.0,3384245709.0
A000890,보해양조,12,19880923,60349897400.0,34405476508.0,11.08,0.94,0.65,-9.08,8.18,12.11,250.0,2006,2160,0.98,12363590.0,198347255.0
A000910,유니온,12,19960703,19769831000.0,8811413677.0,22.4,0.32,0.37,5.07,6.73,18.71,500.0,2006,1632,0.66,4516111.0,95440233.0
A000950,전방,12,19681021,75012000000.0,36500839200.0,-9.0,0.3,0.36,3.9,23.1,270.22,500.0,2006,33100,0.92,15390676.0,280181242.0
A000970,한국주철관,3,19691212,98042150000.0,60639069775.0,9.41,0.44,0.69,-21.07,2.05,2.43,150.0,2006,3900,2.66,4461964.0,244055166.0
A000990,DB하이텍,12,19751212,170779574000.0,35675853009.0,14.77,0.4,0.14,-3.16,10.54,15.46,250.0,2006,20200,4.42,96414515.0,976639082.0
A001000,신라섬유,12,19960701,15450000000.0,8503680000.0,-53.0,1.68,14.95,-13.33,-72.11,-59.79,0.0,2006,1120,0.3,25672808.0,39723341.0
A001020,페이퍼코리아,12,19760626,42896868800.0,26587479282.0,12.08,0.45,0.31,2.19,5.53,9.61,250.0,2006,10190,1.1,126114035.0,274198539.0
A001040,CJ,12,19730629,3007028375000.0,1977121156563.0,24.85,2.11,1.34,85.42,12.78,18.18,1500.0,2006,56213,5.85,318116407.0,2706220537.0
A001060,JW중외제약,12,19760614,250077866200.0,171139954044.0,17.6,1.53,0.85,21.51,7.04,10.55,650.0,2006,18479,3.87,83621322.0,370464964.0
A001070,대한방직,12,19731228,55332000000.0,42705237600.0,0.99,0.31,0.16,0.37,0.73,0.78,0.0,2006,15940,3.47,25945565.0,198232598.0
A001080,만호제강,6,19770618,35897500000.0,15055411500.0,8.41,0.16,0.19,-3.5,3.33,8.39,400.0,2006,9630,1.32,11478805.0,185447664.0
A001120,LG상사,12,19760130,1802000000000.0,1219954000000.0,12.96,2.03,0.25,-63.06,8.54,9.26,500.0,2006,22950,5.88,151548904.0,1287237814.0
A001130,대한제분,12,19701125,264485000000.0,163213693500.0,33.11,0.53,1.72,6.01,11.11,14.96,2500.0,2006,202000,5.76,54108202.0,536341244.0
A001140,국보,12,19891202,9553927200.0,6067699165.0,258.79,0.55,0.14,3.66,6.75,17.78,0.0,2006,800,0.87,12534042.0,71494973.0
A001190,마이크로닉스,12,19881020,38750106420.0,22951688033.0,10.24,1.07,1.3,20.43,13.39,13.64,0.0,2006,2195,-28.42,6081019.0,79628746.0
A001210,금호전기,12,19731115,343096691400.0,249945939685.0,17.94,2.44,1.77,-38.03,10.57,15.92,750.0,2006,37541,6.71,36761656.0,217461383.0
A001230,동국제강,12,19880509,1465215516000.0,755611641601.0,3.75,0.51,0.36,16.53,3.69,4.74,750.0,2006,21226,12.54,390211051.0,4072846157.0
A001250,GS글로벌,12,19760626,156315894000.0,30856757476.0,69.09,4.14,0.09,-7.6,18.61,22.45,0.0,2006,4496,4.19,29210400.0,259472400.0
A001260,남광토건,12,19761228,100411669600.0,43166976761.0,24480.12,31.34,314.46,3551.35,19.9,21.79,0.0,2006,53057964,-8.62,120827855.0,349935395.0
A001300,제일모직,12,19750515,1865000000000.0,1638589000000.0,9.28,1.13,0.53,6.34,5.88,7.62,750.0,2006,39250,5.69,184550244.0,1652468444.0
A001340,백광산업,12,19760610,28782442000.0,14238674057.0,5.51,0.49,0.32,40.32,2.74,5.22,600.0,2006,1310,4.55,1874594.0,74400648.0
A001360,삼성제약,12,19750704,29066611600.0,17966072630.0,-2.95,1.13,1.01,-28.22,-9.42,-8.16,0.0,2006,4664,-0.53,6034814.0,60251251.0
A001370,FnC코오롱,12,19880525,177653280000.0,66637745328.0,10.33,1.63,0.42,1.42,6.48,8.31,250.0,2006,17600,-4.87,84580735.0,276655649.0
A001380,SG충방,12,19760629,10860120205.0,10471327902.0,-3.9,0.68,0.27,-0.85,-0.2,-0.87,0.0,2006,276,-21.81,81153891.0,224230975.0
A001390,KG케미칼,12,19890825,72332000000.0,42516749600.0,7.13,0.81,0.3,16.47,5.8,7.81,200.0,2006,8140,4.56,28524255.0,151956611.0
A001420,태원물산,12,19750624,12276000000.0,7930296000.0,14.49,0.52,0.48,6.78,2.24,3.39,600.0,2006,1517,2.49,2234350.0,33785470.0
A001430,세아베스틸,12,19910312,624000870600.0,195749073107.0,9.21,0.82,0.62,1836.27,4.83,9.83,700.0,2006,19500,5.43,50742720.0,916008512.0
A001440,대한전선,12,19681227,993737238400.0,382091968165.0,3.87,0.67,0.35,-53.99,6.86,7.35,500.0,2006,440671,2.77,301359220.0,1602561022.0
A001460,BYC,12,19750602,73704570000.0,20320349949.0,8.99,0.46,0.66,-4.19,4.17,5.08,750.0,2006,150000,2.59,34704743.0,281748916.0
A001470,삼부토건,12,19760626,211313818800.0,141580258596.0,5.94,0.49,0.25,3.17,5.74,6.11,700.0,2006,148979,4.08,157265124.0,716566173.0
A001520,동양,12,19760625,319020183750.0,129713606713.0,-3.74,-0.29,0.82,7.75,302.66,-94.41,0.0,2006,32841,-1.93,52186721.0,1282110591.0
A001530,동일방직,12,19640104,111246054000.0,64589458952.0,17.03,0.34,0.71,8.2,9.2,13.69,2625.0,2006,64620,1.34,13825694.0,323174327.0
A001540,안국약품,12,20000615,71070000000.0,25492809000.0,6.96,1.09,1.16,15.72,2.57,2.77,100.0,2006,4630,15.95,5592249.0,58052974.0
A001550,조비,12,19761228,12878000000.0,4214969400.0,-6.63,0.99,0.27,-2.84,28.34,136.92,0.0,2006,5870,-5.49,878547.0,54597296.0
A001560,제일연마,12,20051209,36000000000.0,10530000000.0,10.86,1.09,0.81,8.08,5.54,7.95,200.0,2006,3070,7.41,2340861.0,42859152.0
A001570,금양,12,19761217,26500554805.0,22135913429.0,4.21,1.64,0.5,2.4,5.43,5.81,0.0,2006,507,0.53,6291207.0,42006213.0
A001600,서광건설,12,19891116,27257522520.0,18167138760.0,6.5,0.8,0.12,-2.36,6.66,7.33,0.0,2006,7542,1.63,7603494.0,44571007.0
A001620,동국실업,12,19900915,16880427320.0,776499657.0,26.8,0.27,0.16,-7.01,3.36,61.94,150.0,2006,582,0.58,2518933.0,97796123.0
A001630,종근당홀딩스,12,19760630,518082500000.0,396643962000.0,17.29,3.02,1.83,40.45,11.43,13.5,174.0,2006,24434,5.8,14338187.0,263201564.0
A001680,대상,12,19700401,511892216000.0,284100179880.0,-12.08,1.42,0.54,6.14,49.61,-18.49,0.0,2006,12050,1.0,234752262.0,1217037463.0
A001740,SK네트웍스,12,19770630,3629309205600.0,1440109892782.0,8.43,3.88,0.26,6.11,8.42,10.47,0.0,2006,38000,10.04,2345906919.0,4408265424.0
A001770,신화실업,12,19881123,10890000000.0,7821198000.0,6.67,0.56,0.23,-39.95,7.01,9.11,250.0,2006,12058,4.77,14629251.0,52893414.0
A001790,대한제당,12,19681227,104130722250.0,45630082490.0,6.22,0.37,0.1,4.9,5.99,8.33,900.0,2006,12814,2.73,92141180.0,519321918.0
A001800,오리온홀딩스,12,19750627,1686859995000.0,951895095179.0,28.26,2.84,1.96,65.09,26.86,33.42,2250.0,2006,13385,3.11,193998132.0,693915992.0
A001810,무림SP,12,20000104,46710125000.0,18044121288.0,5.22,0.59,0.42,6.2,5.59,6.2,100.0,2006,2640,5.19,43001088.0,171454546.0
A001820,삼화콘덴서,12,19760626,17463600000.0,10258118640.0,-2.99,1.67,0.29,34.61,-36.3,-6.76,30.0,2006,3335,1.29,5279560.0,64291235.0
A001830,동부일렉트로닉스,12,19770930,572534937075.0,344036243688.0,-1.36,0.94,1.22,-2.55,92.36,-8.92,0.0,2006,2155,-13.46,1072816742.0,2288741905.0
A001840,이화공영,12,19960701,19843200000.0,7601929920.0,10.07,0.83,0.27,-13.04,1.52,1.71,80.0,2006,793,7.71,787523.0,33794666.0
A001880,삼호,12,19771222,164320000000.0,136238976000.0,7.93,1.04,0.28,6.31,6.37,6.53,0.0,2006,31727,5.82,38300224.0,313376650.0
A001940,KISCO홀딩스,12,19891113,408000000000.0,137496000000.0,5.81,0.71,0.95,194.98,2.28,2.57,750.0,2006,11563,17.32,11100119.0,702269703.0
A001950,남한제지,6,19681227,39140992080.0,14325603101.0,8.12,0.28,0.1,5.15,5.51,10.74,0.0,2006,417,-1.97,25931788.0,176683130.0
A002000,한국유리,12,19690627,366395641000.0,71557068687.0,755.18,0.75,1.63,14.92,18.4,229.26,900.0,2006,39650,2.93,24010519.0,742653871.0
A002020,코오롱,12,19750623,209849542200.0,107275085973.0,54.87,0.63,0.3,7.91,6.52,19.19,0.0,2006,9875,-8.67,554215893.0,1675115591.0
A002030,아세아,12,19740603,182922659400.0,91827175019.0,12.79,0.3,0.76,7.17,3.35,6.67,750.0,2006,44707,1.66,50011067.0,626211177.0
A002070,남영비비안,12,19760713,33652930500.0,4196520433.0,-2.79,0.32,0.22,32.42,-3.28,-2.62,750.0,2006,2725,0.69,7524503.0,152333897.0
A002100,경농,12,19770630,57049302500.0,15608689164.0,8.0,0.58,0.61,5.42,4.24,5.41,300.0,2006,3025,3.04,34898420.0,149071464.0
A002140,고려산업,12,19910114,21896815150.0,10672507704.0,11.18,0.7,0.21,4.15,8.51,10.56,0.0,2006,698,-0.44,17955031.0,67238855.0
A002170,삼양통상,12,19891110,53100000000.0,31674150000.0,20.21,0.29,0.24,-6.44,5.06,10.53,1000.0,2006,24400,4.18,7255928.0,228461476.0
A002200,수출포장,12,19740628,34560000000.0,22495104000.0,5.85,0.31,0.37,1.08,2.05,3.9,500.0,2006,10050,-0.24,10419914.0,165614003.0
A002210,동성제약,12,19900119,30975366400.0,16605893927.0,23.99,0.62,0.52,-19.58,10.59,14.1,200.0,2006,1732,0.62,19612437.0,90694065.0
A002220,한일철강,12,19881007,36210000000.0,16834029000.0,-8.59,0.4,0.3,-2.0,-25.03,-16.01,300.0,2006,2145,13.4,4273921.0,117990959.0
A002230,피에스텍,12,19960701,36750000000.0,7706475000.0,11.27,0.75,0.8,29.53,6.64,7.91,60.0,2006,1985,2.18,5403962.0,42413294.0
A002240,고려제강,12,19760525,249000000000.0,66582600000.0,7.18,0.45,0.66,-10.83,3.86,4.87,350.0,2006,13079,6.31,54879731.0,643980830.0
A002250,알보젠코리아,12,19731110,56723843400.0,38929573725.0,12.53,1.17,0.98,8.32,5.98,6.88,600.0,2006,23000,4.1,6708813.0,70686470.0
A002270,롯데푸드,12,19730509,269478002000.0,145949285883.0,9.35,1.04,0.67,-4.68,9.72,15.58,750.0,2006,162450,5.43,149938275.0,459917470.0
A002290,삼일기업공사,12,19960701,13330000000.0,7606098000.0,4.3,0.35,0.25,-3.57,-1.48,-1.53,250.0,2006,1350,4.15,2179691.0,37077511.0
A002300,한국제지,12,19710623,179427421650.0,94468537499.0,7.83,0.65,0.68,-3.22,5.85,8.96,400.0,2006,33100,8.18,50586466.0,403466566.0
A002310,아세아제지,12,19881215,49722861800.0,28625451538.0,-35.73,0.35,0.33,-0.39,10.26,34.79,400.0,2006,12850,-0.93,15383625.0,216960953.0
A002320,한진,12,19740812,349659955200.0,236335163720.0,10.85,0.85,0.56,-42.71,7.85,11.02,500.0,2006,30949,1.9,245350174.0,848585973.0
A002350,넥센타이어,12,19760519,186992912200.0,68327210118.0,9.81,0.85,0.54,-4.6,5.38,10.52,450.0,2006,1760,8.23,56751668.0,434000008.0
A002360,SH에너지화학,12,19851223,31468911060.0,19910380028.0,14.06,0.49,0.44,35.04,13.92,20.01,0.0,2006,419,-3.66,3604070.0,86011136.0
A002380,KCC,12,19730625,2293360000000.0,1109756904000.0,12.41,0.88,1.18,6.73,6.41,10.78,6000.0,2006,254164,4.64,425164880.0,2895839061.0
A002390,한독,12,19760630,162400000000.0,43669360000.0,9.98,0.97,0.68,8.03,4.95,6.37,500.0,2006,15482,5.42,35087096.0,234864098.0
A002410,범양건영,12,19880525,86173263300.0,54202982616.0,9.55,0.42,0.33,2.48,7.36,8.99,200.0,2006,363482,5.94,22679564.0,205530065.0
A002420,세기상사,12,19681227,12112156400.0,5334193679.0,9.92,0.91,0.93,-6.62,5.72,8.08,1000.0,2006,36100,6.16,3003954.0,31754910.0
A002450,삼익악기,12,19880930,112849467200.0,71648126725.0,13.82,1.12,1.18,6.16,10.98,12.67,0.0,2006,1020,-5.94,19974525.0,179093943.0
A002460,화성산업,12,19880929,173066120000.0,102801275280.0,9.1,0.55,0.32,5.52,6.88,9.96,400.0,2006,16500,3.03,177244404.0,627640055.0
A002530,벽산건설,12,19750630,209426457600.0,84671116808.0,3.76,0.37,0.17,1.41,4.1,4.27,300.0,2006,526342,4.81,162349174.0,916213940.0
A002540,고제,12,19891012,36015626630.0,33181196814.0,-1.91,1.07,2.23,-4.09,-2.59,-2.41,0.0,2006,102545,-13.06,774277.0,36982623.0
A002600,조흥,12,19761223,28380000000.0,12972498000.0,-15.74,0.42,0.65,-2.34,-11.27,-6.45,0.0,2006,47400,2.06,1663392.0,88491773.0
A002620,제일파마홀딩스,12,19880120,112563000000.0,46285905600.0,11.36,1.05,0.56,64.05,4.89,6.15,100.0,2006,4639,10.56,12900150.0,176053774.0
A002630,오리엔트바이오,3,19761228,107149862820.0,84080497355.0,-6.18,2.49,5.55,-43.33,-8.43,-7.68,0.0,2006,4073,2.26,7939614.0,56335612.0
A002670,미주제강,12,19960701,34808592000.0,23321756640.0,5.79,0.2,0.06,-3.67,8.47,15.33,0.0,2006,835,16.21,15349579.0,86224762.0
A002680,한탑,12,19960701,53664000000.0,28672675200.0,12.87,1.73,1.15,-280.48,9.08,10.7,50.0,2006,1915,6.93,8446519.0,61886546.0
A002700,신일산업,12,19750930,33105600000.0,28076859360.0,30.37,2.73,0.23,2.45,6.99,8.77,0.0,2006,803,0.64,11291207.0,42972275.0
A002710,TCC동양,12,19841221,46375000000.0,19547062500.0,6.85,0.35,0.18,-3.62,5.96,8.92,533.0,2006,2286,6.69,28727993.0,240310186.0
A002720,국제약품,12,19751227,41538420000.0,23593822560.0,6.87,0.67,0.39,11.88,3.92,4.72,100.0,2006,1941,5.56,5108917.0,85650661.0
A002760,보락,12,19891130,14555200000.0,7143692160.0,15.32,0.75,0.8,-28.92,5.13,11.46,200.0,2006,294,10.0,3307131.0,26444049.0
A002780,진흥기업,12,19770625,39596189500.0,29388291847.0,0.77,0.15,0.04,1.14,2.79,2.85,0.0,2006,44118,3.4,20902333.0,271865200.0
A002790,아모레G,12,19730430,3483087500000.0,1830710790000.0,26.72,3.88,3.76,37.68,10.23,12.66,1250.0,2006,16960,13.06,63284377.0,1193973316.0
A002810,삼영무역,12,19880328,36218288155.0,17725230223.0,4.16,0.37,0.26,-3.7,3.49,3.64,75.0,2006,2143,6.92,2288012.0,120853589.0
A002820,선창산업,12,19760522,45300000000.0,22133580000.0,3.59,0.24,0.26,15.4,3.59,6.47,850.0,2006,5607,1.47,32929243.0,299521777.0
A002840,미원상사,12,19890925,65565960000.0,14837576748.0,8.07,1.07,0.45,-6.28,4.4,8.22,1100.0,2006,2646,11.59,11109483.0,94609929.0
A002870,신풍제지,12,19760630,41802600000.0,26084822400.0,-1.76,0.46,0.67,-11.97,-5.18,-3.62,0.0,2006,990,-11.55,10659165.0,178552520.0
A002880,대유에이텍,12,19770218,31970370600.0,21094050522.0,20.92,3.28,1.38,-6.55,20.73,22.99,0.0,2006,768,-23.12,172077.0,10969003.0
A002900,동양물산,12,19730626,36094672800.0,23194436741.0,8.41,0.38,0.16,-7.91,5.68,9.68,250.0,2006,517,1.53,27348157.0,199076715.0
A002920,유성기업,12,19881010,101179525700.0,51803917158.0,11.04,0.87,0.68,-54.69,5.2,9.63,100.0,2006,4282,6.85,13899077.0,169284924.0
A002960,한국쉘석유,12,19880810,90090000000.0,41576535000.0,9.88,1.7,0.93,38.13,5.45,5.96,6000.0,2006,62000,15.56,738461.0,62055336.0
A002990,금호산업,12,19760626,1056197012000.0,484266330002.0,11.46,1.04,0.67,-6.59,10.23,12.14,450.0,2006,694596,6.36,637216499.0,2287785172.0
A003000,부광약품,12,19880805,434945640000.0,297024377556.0,28.48,4.17,3.67,34.39,17.75,20.75,325.0,2006,6651,11.88,2886213.0,126882306.0
A003010,혜인,12,19880920,52513032000.0,40130459054.0,8.76,0.62,0.44,-26.85,5.27,9.16,70.0,2006,3340,1.04,10414350.0,111581536.0
A003030,세아제강,12,19690513,143040000000.0,52295424000.0,3.04,0.31,0.13,-1.16,4.6,6.65,1000.0,2006,28377,11.35,48145410.0,654924419.0
A003040,한일약품,12,19760318,122320000000.0,61967312000.0,77.28,2.89,3.09,73.1,42.79,52.33,,2006,12000,-9.77,7344954.0,52439444.0
A003060,에이프로젠제약,12,19841019,74947600000.0,62431350800.0,-5.72,2.75,2.98,-3.68,-5.44,-5.08,0.0,2006,37296,-26.55,1009757.0,13390214.0
A003070,코오롱글로벌,12,19780915,336393977300.0,244020191133.0,5.98,1.51,0.41,4.53,3.38,3.47,600.0,2006,81310,-7.15,178400053.0,664367322.0
A003080,성보화학,12,19761223,48048000000.0,16663046400.0,18.04,0.64,1.4,41.24,7.78,10.26,1000.0,2006,3580,1.93,3110229.0,85801760.0
A003090,대웅,12,19730626,127847897800.0,26042616782.0,10.35,0.81,3.62,6.41,7.02,7.81,450.0,2006,5340,6.9,6594058.0,141618226.0
A003100,선광,12,19991221,71940000000.0,26754486000.0,7.95,0.57,0.9,-1.72,7.14,11.48,180.0,2006,9500,12.45,30065407.0,211599296.0
A003120,일성신약,12,19850114,168910000000.0,75215623000.0,4.63,0.74,1.69,5.2,2.14,2.24,500.0,2006,84900,11.2,827140.0,140541681.0
A003160,디아이,12,19960731,71426392425.0,59469614333.0,8.96,0.96,0.69,5.39,4.49,7.14,0.0,2006,2440,14.05,6076804.0,127770542.0
A003190,알앤엘바이오,12,19760630,128009924400.0,105288162819.0,-19.92,6.35,15.08,-8.6,-43.85,-42.93,0.0,2006,2611,-101.02,1385285.0,2020361.0
A003200,일신방직,12,19730523,103200000000.0,36739200000.0,6.09,0.34,0.55,3.8,3.3,4.0,1250.0,2006,52000,2.62,28260899.0,411136343.0
A003220,대원제약,12,19991215,55166305600.0,28085166181.0,9.38,1.0,0.95,82.17,4.85,6.45,210.0,2006,2886,3.4,4276038.0,50373961.0
A003230,삼양식품,12,19750630,133829475500.0,95353501294.0,11.2,5.17,0.53,6.92,8.16,9.81,0.0,2006,19750,6.13,26690464.0,193536880.0
A003240,태광산업,12,19751227,645772000000.0,179653770400.0,27.63,0.33,0.5,9.05,4.37,23.59,1750.0,2006,910000,4.49,20984066.0,1622574991.0
A003280,흥아해운,12,19760629,64026261000.0,49197778952.0,2.87,0.72,0.09,1.44,1.81,3.11,35.0,2006,1979,10.67,100865004.0,283299530.0
A003300,한일시멘트,12,19691120,519117534400.0,342721396211.0,9.27,0.59,1.12,11.95,4.07,5.71,1250.0,2006,51799,11.93,17495860.0,933716309.0
A003310,대주산업,12,19960701,21412371750.0,11832476629.0,394.69,0.81,0.59,735.33,23.32,146.52,0.0,2006,480,0.76,4155255.0,41345868.0
A003350,한국화장품제조,12,19780206,57886000000.0,27229574400.0,47.28,0.56,1.43,5.14,12.72,26.3,20.0,2006,4119,-5.86,7870186.0,161268148.0
A003410,쌍용양회,12,19750503,1228164172200.0,603274241385.0,-17.28,0.96,0.7,32.53,11.38,55.66,0.0,2006,2789,2.92,379257062.0,2847140441.0
A003480,한진중공업홀딩스,12,19560303,1887008385900.0,1160887559006.0,75.52,1.41,0.83,-3.81,18.91,33.54,400.0,2006,18218,1.07,883965000.0,3339067000.0
A003490,대한항공,12,19660318,2666224906400.0,1805567506614.0,11.37,0.54,0.3,3.41,6.44,13.81,150.0,2006,31451,3.5,6872768980.0,13809356692.0
A003520,영진약품,12,19730625,383432758620.0,164530996724.0,1754.52,7.83,4.12,-10.04,108.66,245.45,0.0,2006,2226,3.2,11011281.0,93076068.0
A003550,LG,12,19700213,6134406007050.0,2977640675822.0,9.21,1.36,11.2,8.79,7.24,7.28,500.0,2006,29850,12.27,585525183.0,4349106521.0
A003560,IHQ,12,19731218,372337130000.0,243694651585.0,52.15,8.37,6.49,-34.69,57.07,92.97,0.0,2006,6810,-2.01,506233.0,23327610.0
A003570,S&T중공업,12,19760708,249089768080.0,122029077382.0,14.12,1.01,0.87,-33.18,8.4,13.36,125.0,2006,6381,6.67,83998783.0,389146407.0
A003580,동원,12,19900323,40966299000.0,22941127440.0,-0.66,1.06,1.34,0.65,-0.94,-0.93,0.0,2006,4569,1.25,28784292.0,206419166.0
A003610,방림,9,19890530,72145523450.0,43922194676.0,1.13,0.32,0.4,0.44,0.42,0.45,250.0,2006,1610,-1.06,28999668.0,253330121.0
A003620,쌍용차,12,19750529,823887508400.0,394724505274.0,-7.54,0.7,0.23,5.45,7.68,-36.34,0.0,2006,39976,0.44,469641985.0,2610198997.0
